query_id,latency_us,full_eval_count,coarse_touch_count
0,NA,NA,NA
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
