dataset,method,K,tau,eta,nprobe,recall50,qps,avg_full_eval,rc,wall_time_sec
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,1,0.7167,688.38,9698.75,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,2,0.8577,385.788,18775.5,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,3,0.9034,270.898,27812.5,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,5,0.9608,174.139,45106.4,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,8,0.978,116.061,70785.9,0,1714.7
